Title,Release Year,Duration,Director,Actor 1,Actor 2,Genre
One Night at McCool's,2001,93 min.,Harald Zwart,Liv Tyler,Matt Dillon,Black Comedy
Hatfields & McCoys,2012,285 min.,Kevin Reynolds,Kevin Costner,Bill Paxton,Based-on-a-True-Story
Man Up,2015,88 min.,Ben Palmer,Simon Pegg,Lake Bell,Comedy
"Swades: We, the People",2004,210 min.,Ashutosh Gowariker,Daya Shankar Pandey,Shah Rukh Khan,Bollywood
Ivan Vasilievich: Back to the Future,1973,93 min.,Leonid Gayday,Aleksandr Demyanenko,Yuriy Yakovlev,Comedy of Errors
Slick Hare,1947,8 min.,Friz Freleng,,,Animation
If Looks Could Kill,1991,88 min.,William Dear,Richard Grieco,Roger Rees,Action
Tom Petty and the Heartbreakers: Runnin' Down a Dream,2007,239 min.,Peter Bogdanovich,Tom Petty,Jeff Lynne,Biography
Resident Evil: Afterlife,2010,97 min.,Paul W.S. Anderson,Milla Jovovich,Ali Larter,Action
Love Me or Leave Me,1955,122 min.,Charles Vidor,Doris Day,Tom Tully,Based-on-a-True-Story
The Empire Strikes Back Uncut,2014,128 min.,Casey Pugh,,,Adventure
David Byrne's American Utopia,2020,105 min.,Spike Lee,David Byrne,Chris Giarmo,Concert Film
Willard,1971,91 min.,Daniel Mann,Bruce Davison,Ernest Borgnine,Horror
Cutthroat Island,1995,119 min.,Renny Harlin,Geena Davis,Matthew Modine,Adventure
Pryde of the X-Men,1989,30 min.,Ray Lee,Michael Bell,Earl Boen,Action
Final Destination 3,2006,93 min.,James Wong,Mary Elizabeth Winstead,Ryan Merriman,Horror
The Reptile,1966,90 min.,John Gilling,Noel Willman,Jennifer Daniel,Body Horror
The Bingo Long Traveling All-Stars & Motor Kings,1976,110 min.,John Badham,Billy Dee Williams,James Earl Jones,Americana
The Kid Detective,2020,100 min.,Evan Morgan,Adam Brody,Sophie Nélisse,Black Comedy
Parallel Mothers,2021,120 min.,Pedro Almodóvar,Penélope Cruz,Milena Smit,Drama
Napoleon Bunny-Part,1956,7 min.,Friz Freleng,,,Animation
The Last Circus,2010,99 min.,Álex de la Iglesia,Carolina Bang,Santiago Segura,Black Comedy
The Art of War,2000,117 min.,Christian Duguay,Wesley Snipes,Anne Archer,Action
Beyond the Hills,2012,150 min.,Cristian Mungiu,Cosmina Stratan,Cristina Flutur,Drama
The Vicious Kind,2009,92 min.,Lee Toland Krieger,J.K. Simmons,Adam Scott,Comedy
Sarah Silverman: Jesus Is Magic,2005,72 min.,Liam Lynch,Sarah Silverman,Bob Odenkirk,Comedy
Being Julia,2004,104 min.,István Szabó,Annette Bening,Miriam Margolyes,Comedy Drama
Grandma,2015,79 min.,Paul Weitz,Lily Tomlin,Julia Garner,Comedy Drama
Magic Bricks,1908,3 min.,Segundo de Chomón,,,Fantasy
Variety Lights,1950,93 min.,"Federico Fellini, Alberto Lattuada",Peppino De Filippo,Carla Del Poggio,Drama
Up!,1976,88 min.,Russ Meyer,Edward Schaaf,Robert McLane,Comedy
Cemetery Without Crosses,1969,90 min.,Robert Hossein,Michèle Mercier,Robert Hossein,Foreign Language Film
Total Recall,2012,121 min.,Len Wiseman,Colin Farrell,Kate Beckinsale,Action
Congo,1995,109 min.,Frank Marshall,Laura Linney,Dylan Walsh,Action
Down Periscope,1996,92 min.,David S. Ward,Lauren Holly,Rob Schneider,Comedy
Bobby Fischer Against the World,2010,93 min.,Liz Garbus,,,Biography
The Silent Scream,1980,87 min.,Denny Harris,Rebecca Balding,Cameron Mitchell,Horror
2 Fast 2 Furious,2003,107 min.,John Singleton,Paul Walker,Tyrese Gibson,Action
Carry on Camping,1969,88 min.,Gerald Thomas,Sid James,Kenneth Williams,Comedy
Once Upon a Time in China III,1992,105 min.,Hark Tsui,Jet Li,Rosamund Kwan,Action
Eugenie,1969,87 min.,Jesús Franco,Marie Liljedahl,Maria Rohm,Based-on-18th-Century-Literature
Ecstasy,1933,87 min.,Gustav Machatý,Hedy Lamarr,Aribert Mog,Avant-garde / Experimental
Hara-Kiri: Death of a Samurai,2011,126 min.,Takashi Miike,Ebizô Ichikawa,Koji Yakusho,Drama
The Dawn Patrol,1930,108 min.,Howard Hawks,Richard Barthelmess,Douglas Fairbanks Jr.,Action
Twenty Minutes of Love,1914,20 min.,"Joseph Maddern, Charles Chaplin",Charles Chaplin,Minta Durfee,Comedy
Hiding Out,1987,98 min.,Bob Giraldi,Jon Cryer,Keith Coogan,Comedy Thriller
Jack Ryan: Shadow Recruit,2014,105 min.,Kenneth Branagh,Chris Pine,Kevin Costner,Action Thriller
The Cat from Outer Space,1978,104 min.,Norman Tokar,Sandy Duncan,Harry Morgan,Animal Picture
Big Top Pee-Wee,1988,86 min.,Randal Kleiser,Valeria Golino,Penelope Ann Miller,Comedy
Life as We Know It,2010,112 min.,Greg Berlanti,Katherine Heigl,Josh Duhamel,Comedy Drama
Miami Vice,2006,134 min.,Michael Mann,Colin Farrell,Jamie Foxx,Action
Bone,1972,95 min.,Larry Cohen,Yaphet Kotto,Andrew Duggan,Black Comedy
You Ought to Be in Pictures,1940,9 min.,Friz Freleng,,,Animation
Dreamcatcher,2003,134 min.,Lawrence Kasdan,Morgan Freeman,Jason Lee,Alien Invasion Films
Teddy at the Throttle,1917,18 min.,Clarence G. Badger,Bobby Vernon,Gloria Swanson,Comedy
Cosmopolis,2012,105 min.,David Cronenberg,Robert Pattinson,Sarah Gadon,Drama
Bandolero!,1968,106 min.,Andrew V. McLaglen,James Stewart,Dean Martin,Revisionist Western
Duets,2000,112 min.,Bruce Paltrow,Maria Bello,Paul Giamatti,Comedy Drama
Ip Man 3,2015,105 min.,Wilson Yip,Donnie Yen,Jin Zhang,Action
The Unfaithful Wife,1969,98 min.,Claude Chabrol,Stéphane Audran,Michel Bouquet,Crime
A Sailor-Made Man,1921,46 min.,Fred C. Newmeyer,Harold Lloyd,Mildred Davis,Comedy
Highlander II: The Quickening,1991,109 min.,Russell Mulcahy,Christopher Lambert,Virginia Madsen,Action
Test Pilot,1938,118 min.,Victor Fleming,Clark Gable,Myrna Loy,Adventure
The Invisible Guest,2016,106 min.,Oriol Paulo,Mario Casas,Jose Coronado,Foreign Language Film
