"['The Usual Suspects', '1995', '106 min.', 'Bryan Singer', 'Stephen Baldwin', 'Gabriel Byrne', 'Crime Thriller']"
"['The Lord of the Rings: The Return of the King', '2003', '201 min.', 'Peter Jackson', 'Elijah Wood', 'Ian McKellen', 'Adventure']"
"['Aliens', '1986', '137 min.', 'James Cameron', 'Sigourney Weaver', 'Carrie Henn', 'Action']"
"['Paths of Glory', '1957', '87 min.', 'Stanley Kubrick', 'Kirk Douglas', 'Ralph Meeker', 'Anti-War Film']"
"['Psycho', '1960', '109 min.', 'Alfred Hitchcock', 'Anthony Perkins', 'Vera Miles', 'Based-on-20th-Century-Literature']"
"['Saving Private Ryan', '1998', '170 min.', 'Steven Spielberg', 'Tom Hanks', 'Tom Sizemore', 'Combat Films']"
"['12 Angry Men', '1957', '96 min.', 'Sidney Lumet', 'Henry Fonda', 'Lee J. Cobb', 'Based-on-Television']"
"['Jurassic Park', '1993', '127 min.', 'Steven Spielberg', 'Sam Neill', 'Laura Dern', 'Action']"
"[""Schindler's List"", '1993', '195 min.', 'Steven Spielberg', 'Liam Neeson', 'Ben Kingsley', 'Based-on-20th-Century-Literature']"
"['Persona', '1966', '85 min.', 'Ingmar Bergman', 'Bibi Andersson', 'Liv Ullmann', 'Avant-garde / Experimental']"
"['Apocalypse Now', '1979', '153 min.', 'Francis Ford Coppola', 'Martin Sheen', 'Robert Duvall', 'Adventure Drama']"
"['The Red Shoes', '1948', '133 min.', 'Michael Powell, Emeric Pressburger', 'Moira Shearer', 'Anton Walbrook', 'Based-on-19th-Century-Literature']"
"['The Passion of Joan of Arc', '1928', '110 min.', 'Carl Theodor Dreyer', 'Maria Falconetti', 'Eugene Silvain', 'Based-on-a-True-Story']"
"['Touch of Evil', '1958', '95 min.', 'Orson Welles', 'Charlton Heston', 'Janet Leigh', 'Crime']"
"['Vertigo', '1958', '129 min.', 'Alfred Hitchcock', 'James Stewart', 'Kim Novak', 'Based-on-20th-Century-Literature']"
"['Forrest Gump', '1994', '142 min.', 'Robert Zemeckis', 'Tom Hanks', 'Robin Wright', 'Americana']"
"['Jaws', '1975', '124 min.', 'Steven Spielberg', 'Roy Scheider', 'Robert Shaw', 'Adventure']"
"['Chinatown', '1974', '131 min.', 'Roman Polanski', 'Faye Dunaway', 'Jack Nicholson', 'Detective Film']"
"['Le samouraï', '1967', '105 min.', 'Jean-Pierre Melville', 'Alain Delon', 'François Perier', 'Crime Thriller']"
"['Toy Story', '1995', '81 min.', 'John Lasseter', 'Don Rickles', 'Wallace Shawn', 'Adventure']"
"['Bicycle Thieves', '1948', '93 min.', 'Vittorio De Sica', 'Lamberto Maggiorani', 'Lianella Carell', 'Coming-of-Age']"
"['The Big Lebowski', '1998', '117 min.', 'Joel & Ethan Coen', 'Julianne Moore', 'David Huddleston', 'Buddy Film']"
"['A Clockwork Orange', '1971', '136 min.', 'Stanley Kubrick', 'Malcolm McDowell', 'Warren Clarke', 'Based-on-20th-Century-Literature']"
"['Come and See', '1985', '140 min.', 'Elem Klimov', 'Aleksei Kravchenko', 'Olga Mironova', 'Anti-War Film']"
"['The Lord of the Rings: The Two Towers', '2002', '179 min.', 'Peter Jackson', 'Elijah Wood', 'Ian McKellen', 'Adventure']"
"['Memento', '2000', '113 min.', 'Christopher Nolan', 'Guy Pearce', 'Carrie-Anne Moss', 'Crime Thriller']"
"[""Ferris Bueller's Day Off"", '1986', '103 min.', 'John Hughes', 'Matthew Broderick', 'Alan Ruck', 'Comedy']"
"['The Treasure of the Sierra Madre', '1948', '126 min.', 'John Huston', 'Humphrey Bogart', 'Walter Huston', 'Adventure Drama']"
"['Tokyo Story', '1953', '136 min.', 'Yasujirô Ozu', 'Chishu Ryu', 'Chieko Higashiyama', 'Drama']"
"['The General', '1926', '103 min.', 'Clyde Bruckman, Buster Keaton', 'Buster Keaton', 'Marion Mack', 'Action Comedy']"
"['Full Metal Jacket', '1987', '116 min.', 'Stanley Kubrick', 'Matthew Modine', 'Adam Baldwin', 'Anti-War Film']"
"['The Terminator', '1984', '108 min.', 'James Cameron', 'Arnold Schwarzenegger', 'Linda Hamilton', 'Action Thriller']"
"['Fargo', '1996', '98 min.', 'Joel & Ethan Coen', 'Frances McDormand', 'William H. Macy', 'Americana']"
"['The 400 Blows', '1959', '99 min.', 'François Truffaut', 'Jean-Pierre Léaud', 'Claire Maurier', 'Childhood Drama']"
"['Inception', '2010', '148 min.', 'Christopher Nolan', 'Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Action Thriller']"
"['It Happened One Night', '1934', '105 min.', 'Frank Capra', 'Clark Gable', 'Claudette Colbert', 'Comedy']"
"['Notorious', '1946', '101 min.', 'Alfred Hitchcock', 'Cary Grant', 'Ingrid Bergman', 'Film Noir']"
"['Wild Strawberries', '1957', '91 min.', 'Ingmar Bergman', 'Victor Sjostrom', 'Bibi Andersson', 'Drama']"
"['Sunset Blvd.', '1950', '110 min.', 'Billy Wilder', 'William Holden', 'Gloria Swanson', 'Drama']"
